First Name,Last Name,Email,Job Title,Seniorities,Departments,Company Name,Company Domain,Country,LinkedIn URL
Sergio,Arencibia Febles,,Director comercial & Marketing,C-Level,Marketing and Advertising; Management,Revenue International,revenueinternational.com,es,https://www.linkedin.com/in/sergioarencibiafebles
Maxime,Dautresme,,Founder and Creative Director,Founder; Director,Founder/Owner; Marketing and Advertising,Substance,aworkofsubstance.com,cn,https://www.linkedin.com/in/maxime-dautresme-76837a6
Phillip,Winter,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Hotels And Hostels Holding Ag,aohostels.com,de,https://www.linkedin.com/in/winter-phillip
Ola,Thord Olsson,,Creative & Co-Founder,Founder,Founder/Owner; Marketing and Advertising,Äventyret,aventyret.com,se,https://www.linkedin.com/in/olaolsson1
SATISH,SRIVASTAVA,,Dy. CMO ( City Maintenance Organization),C-Level,Management; Marketing and Advertising,"Aamby Valley City, Sahara India Flagship Project",aambyvalley.com,in,https://www.linkedin.com/in/satish-srivastava-48256a68
Rodrigo,Martínez,,Co-Founder & Marketing Director,Founder; Director,Founder/Owner; Marketing and Advertising,Acantilados,acantilados.sv,es,https://www.linkedin.com/in/rodrigoamartinez
Terrie,O'Hanlon,,Senior Vice President and Chief Marketing Officer,C-Level; VP,Management; Marketing and Advertising,"Agilysys, Inc.",agilysys.com,us,https://www.linkedin.com/in/terrieohanlon
Clare,Cartwright,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Airelles,airelles.com,fr,https://www.linkedin.com/in/clare-cartwright-6793a936
Laure,Evrard,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Airelles,airelles.com,fr,https://www.linkedin.com/in/laureevrard
Lance,George,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Al J. Schneider Company,ajshotels.com,us,https://www.linkedin.com/in/lance-george-67008422
Elana,Friedman,,Chief Marketing and Strategy Officer,C-Level,Management; Marketing and Advertising,Aka Hotels+hotel Residences,stayaka.com,us,https://www.linkedin.com/in/elanafriedman
HASAN,MERMER,,Entertainment Chief,C-Level,Management; Marketing and Advertising,Akka Hotels,akkahotels.com,tr,https://www.linkedin.com/in/hasan-mermer-33604a87
Razvan,Lates,,Chief Commercial & Marketing Officer,C-Level,Management; Marketing and Advertising,Aletto Hotels,aletto.com,de,https://www.linkedin.com/in/razvanlates
Iñigo,Contreras Gurruchaga,,CMO,C-Level,Management; Marketing and Advertising,Líbere,staylibere.com,es,https://www.linkedin.com/in/contrerasinigo
Thomas,Payr,,Geschäftsführer / CMO,C-Level,Management; Marketing and Advertising,Alps Resorts,alps-resorts.com,at,https://www.linkedin.com/in/thomas-payr-336927a0
KATE,BOYD,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Angama Mara,angama.com,za,https://www.linkedin.com/in/kate-boyd-5184532b
Isaac,Vidal Sánchez,,Chief Sales Marketing Officer,C-Level,Management; Sales; Marketing and Advertising,Ar Hotels &a; Resorts,ar-hotels.com,es,https://www.linkedin.com/in/isaacvidal
Michele,Willis Smith,,Chief Marketing & Sales Officer,C-Level,Sales; Management; Marketing and Advertising,Ventana Canyon Club And Lodge,thelodgeatventanacanyon.com,us,https://www.linkedin.com/in/michelewillissmith
Amy,Beilharz,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Artistree Hospitality Group,artistreehospitality.com,us,https://www.linkedin.com/in/amybeilharz
Fabienne,Heinrich,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,M3connect,m3connect.de,de,https://www.linkedin.com/in/rahierfabienne
Diego,Del Vecchio,,Chief Marketing Officer,C-Level,Management; Marketing and Advertising,Atelier De Hoteles,atelierdehoteles.com,mx,https://www.linkedin.com/in/diegodelvecchio
Marie,J. Torres,,Chief Marketing & Commercial Officer,C-Level,Management; Marketing and Advertising,Atlantis Resort Spe Limited,atlantisbahamas.com,us,https://www.linkedin.com/in/mariejtorres
chef,Samer Al-Zoubi,,Chief Brand,C-Level,Management; Marketing and Advertising,Aura-hospitality,aura-retail.com,qa,https://www.linkedin.com/in/chef-samer-al-zoubi-b33580170
Jana,Vrbova,,Chief Marketing Officer Axxos Hotels,C-Level,Management; Marketing and Advertising,Axxos Hotels,axxoshotels.com,cz,https://www.linkedin.com/in/jana-vrbova-5b822a53
Eduardo,Fauquié,,CMO,C-Level,Management; Marketing and Advertising,B&b Hotels Slovenia,hotel-bb.com,es,https://www.linkedin.com/in/eduardofauquie
